iter	Passed	Remaining
256	5272	10216
257	5291	10192
258	5308	10166
259	5339	10165
260	5359	10144
261	5381	10125
262	5402	10107
263	5439	10115
264	5458	10093
265	5478	10072
266	5497	10048
267	5521	10032
268	5543	10015
269	5565	9997
270	5589	9982
271	5610	9961
272	5630	9940
273	5650	9919
274	5670	9898
275	5688	9872
276	5709	9852
277	5726	9826
278	5745	9802
279	5763	9776
280	5787	9762
281	5809	9743
282	5831	9725
283	5853	9707
284	5874	9687
285	5894	9665
286	5921	9655
287	5942	9636
288	5963	9616
289	5990	9605
290	6011	9585
291	6058	9606
292	6088	9600
293	6108	9578
294	6128	9555
295	6147	9533
296	6172	9518
297	6193	9498
298	6210	9471
299	6228	9445
300	6252	9430
301	6272	9408
302	6292	9387
303	6317	9372
304	6338	9351
305	6355	9324
306	6374	9302
307	6394	9280
308	6417	9263
309	6440	9245
310	6460	9223
311	6485	9207
312	6506	9187
313	6525	9164
314	6548	9146
315	6573	9131
316	6598	9116
317	6618	9095
318	6646	9084
319	6667	9063
320	6690	9045
321	6709	9022
322	6730	9002
323	6754	8984
324	6776	8965
325	6798	8946
326	6817	8922
327	6839	8904
328	6861	8884
329	6879	8859
330	6901	8840
331	6922	8819
332	6945	8802
333	6968	8783
334	7002	8779
335	7029	8766
336	7052	8747
337	7073	8726
338	7096	8707
339	7116	8686
340	7137	8665
341	7156	8642
342	7175	8619
343	7196	8597
344	7214	8573
345	7233	8550
346	7256	8532
347	7280	8514
348	7299	8492
349	7321	8471
350	7338	8446
351	7356	8422
352	7375	8398
353	7392	8374
354	7410	8349
355	7426	8323
356	7446	8301
357	7465	8278
358	7483	8255
359	7501	8231
360	7519	8206
361	7536	8181
362	7556	8159
363	7572	8134
364	7591	8111
365	7608	8086
366	7626	8063
367	7643	8038
368	7661	8014
369	7678	7990
370	7699	7969
371	7716	7944
372	7734	7921
373	7753	7898
374	7770	7874
375	7792	7854
376	7808	7829
377	7831	7811
378	7850	7788
379	7871	7767
380	7890	7745
381	7912	7726
382	7934	7706
383	7972	7703
384	7996	7685
385	8017	7664
386	8039	7644
387	8064	7628
388	8125	7644
389	8179	7654
390	8200	7634
391	8220	7612
392	8237	7587
393	8256	7564
394	8271	7538
395	8290	7515
396	8307	7491
397	8337	7478
398	8363	7462
399	8387	7443
400	8418	7431
401	8452	7422
402	8479	7406
403	8509	7392
404	8546	7385
